TSCA,HAPS,EHS,COI,RTK,SVHC,RED,EPA,LTAP,SNUR List,NES HAPS,"PBT
(WAC 173-333-320)",IARC
68991-89-9,,,,,,,,,,,,
68991-91-3,,,,,,,,,,,,
68991-92-4,,,,,,,,,,,,
68991-93-5,,,,,,,,,,,,
68991-94-6,,,,,,,,,,,,
68991-95-7,,,,,,,,,,,,
68991-96-8,,,,,,,,,,,,
68991-97-9,,,,,,,,,,,,
68991-98-0,,,,,,,,,,,,
68991-99-1,,,,,,,,,,,,
68992-00-7,,,,,,,,,,,,
68992-01-8,,,,,,,,,,,,
68992-02-9,,,,,,,,,,,,
68992-03-0,,,,,,,,,,,,
68992-04-1,,,,,,,,,,,,
68992-05-2,,,,,,,,,,,,
68992-06-3,,,,,,,,,,,,
68992-07-4,,,,,,,,,,,,
68992-08-5,,,,,,,,,,,,
68992-09-6,,,,,,,,,,,,
68992-10-9,,,,,,,,,,,,
68992-11-0,,,,,,,,,,,,
68992-12-1,,,,,,,,,,,,
68992-13-2,,,,,,,,,,,,
68992-14-3,,,,,,,,,,,,
68992-15-4,,,,,,,,,,,,
68992-16-5,,,,,,,,,,,,
68992-17-6,,,,,,,,,,,,
68992-18-7,,,,,,,,,,,,
68992-19-8,,,,,,,,,,,,
68992-20-1,,,,,,,,,,,,
68994-94-5,,,,,,,,,,,,
689-97-4,,,,,,,,,,,,
6900-35-2,,,,,,,,,,,,
69008-24-8,,,,,,,,,,,,
69009-88-7,,,,,,,,,,,,
69009-89-8,,,,,,,,,,,,
69009-90-1,,,,,,,,,,,,
69009-91-2,,,,,,,,,,,,
69009-92-3,,,,,,,,,,,,
69011-02-5,,,,,,,,,,,,
69011-03-6,,,,,,,,,,,,
69011-04-7,,,,,,,,,,,,
69011-05-8,,,,,,,,,,,,
69011-06-9,,,,,,,,,,,,
69011-07-0,,,,,,,,,,,,
69011-08-1,,,,,,,,,,,,
69011-09-2,,,,,,,,,,,,
69011-10-5,,,,,,,,,,,,
69011-11-6,,,,,,,,,,,,
69011-12-7,,,,,,,,,,,,
69011-13-8,,,,,,,,,,,,
69011-14-9,,,,,,,,,,,,
69011-15-0,,,,,,,,,,,,
69011-16-1,,,,,,,,,,,,
69011-17-2,,,,,,,,,,,,
69011-18-3,,,,,,,,,,,,
69011-19-4,,,,,,,,,,,,
69011-20-7,,,,,,,,,,,,
69011-21-8,,,,,,,,,,,,
69011-22-9,,,,,,,,,,,,
69011-23-0,,,,,,,,,,,,
69011-24-1,,,,,,,,,,,,
69011-25-2,,,,,,,,,,,,
69011-26-3,,,,,,,,,,,,
69011-27-4,,,,,,,,,,,,
69011-28-5,,,,,,,,,,,,
69011-29-6,,,,,,,,,,,,
69011-30-9,,,,,,,,,,,,
69011-31-0,,,,,,,,,,,,
69011-32-1,,,,,,,,,,,,
69011-33-2,,,,,,,,,,,,
69011-34-3,,,,,,,,,,,,
69011-36-5,,,,,,,,,,,,
69011-37-6,,,,,,,,,,,,
69011-38-7,,,,,,,,,,,,
69011-39-8,,,,,,,,,,,,
69011-40-1,,,,,,,,,,,,
69011-42-3,,,,,,,,,,,,
69011-43-4,,,,,,,,,,,,
69011-44-5,,,,,,,,,,,,
69011-45-6,,,,,,,,,,,,
69011-46-7,,,,,,,,,,,,
69011-47-8,,,,,,,,,,,,
69011-48-9,,,,,,,,,,,,
69011-49-0,,,,,,,,,,,,
69011-50-3,,,,,,,,,,,,
69011-52-5,,,,,,,,,,,,
69011-53-6,,,,,,,,,,,,
69011-54-7,,,,,,,,,,,,
69011-55-8,,,,,,,,,,,,
69011-56-9,,,,,,,,,,,,
69011-57-0,,,,,,,,,,,,
69011-58-1,,,,,,,,,,,,
69011-59-2,,,,,,,,,,,,
69011-60-5,,,,,,,,,,,,
69011-61-6,,,,,,,,,,,,
69011-62-7,,,,,,,,,,,,
69011-63-8,,,,,,,,,,,,
69011-64-9,,,,,,,,,,,,
69011-65-0,,,,,,,,,,,,
69011-66-1,,,,,,,,,,,,
69011-67-2,,,,,,,,,,,,
69011-68-3,,,,,,,,,,,,
69011-69-4,,,,,,,,,,,,
69011-70-7,,,,,,,,,,,,
69011-71-8,,,,,,,,,,,,
69011-72-9,,,,,,,,,,,,
69011-73-0,,,,,,,,,,,,
69011-74-1,,,,,,,,,,,,
69011-75-2,,,,,,,,,,,,
69011-76-3,,,,,,,,,,,,
69011-77-4,,,,,,,,,,,,
69011-78-5,,,,,,,,,,,,
69011-79-6,,,,,,,,,,,,
69011-80-9,,,,,,,,,,,,
69011-81-0,,,,,,,,,,,,
69011-82-1,,,,,,,,,,,,
69011-83-2,,,,,,,,,,,,
69011-84-3,,,,,,,,,,,,
69011-85-4,,,,,,,,,,,,
69011-86-5,,,,,,,,,,,,
69011-87-6,,,,,,,,,,,,
69011-89-8,,,,,,,,,,,,
69011-90-1,,,,,,,,,,,,
69011-91-2,,,,,,,,,,,,
69011-92-3,,,,,,,,,,,,
69011-93-4,,,,,,,,,,,,
69011-94-5,,,,,,,,,,,,
69011-95-6,,,,,,,,,,,,
69011-96-7,,,,,,,,,,,,
69011-97-8,,,,,,,,,,,,
69011-98-9,,,,,,,,,,,,
69011-99-0,,,,,,,,,,,,
69012-00-6,,,,,,,,,,,,
69012-01-7,,,,,,,,,,,,
69012-03-9,,,,,,,,,,,,
69012-04-0,,,,,,,,,,,,
69012-05-1,,,,,,,,,,,,
69012-06-2,,,,,,,,,,,,
69012-07-3,,,,,,,,,,,,
69012-08-4,,,,,,,,,,,,
69012-09-5,,,,,,,,,,,,
69012-11-9,,,,,,,,,,,,
69012-12-0,,,,,,,,,,,,
69012-13-1,,,,,,,,,,,,
69012-14-2,,,,,,,,,,,,
69012-15-3,,,,,,,,,,,,
69012-16-4,,,,,,,,,,,,
69012-17-5,,,,,,,,,,,,
69012-18-6,,,,,,,,,,,,
69012-19-7,,,,,,,,,,,,
69012-20-0,,,,,,,,,,,,
69012-21-1,,,,,,,,,,,,
69012-22-2,,,,,,,,,,,,
69012-23-3,,,,,,,,,,,,
69012-24-4,,,,,,,,,,,,
69012-25-5,,,,,,,,,,,,
69012-26-6,,,,,,,,,,,,
69012-27-7,,,,,,,,,,,,
69012-28-8,,,,,,,,,,,,
69012-29-9,,,,,,,,,,,,
69012-30-2,,,,,,,,,,,,
69012-31-3,,,,,,,,,,,,
69012-32-4,,,,,,,,,,,,
69012-33-5,,,,,,,,,,,,
69012-34-6,,,,,,,,,,,,
69012-35-7,,,,,,,,,,,,
69012-36-8,,,,,,,,,,,,
69012-37-9,,,,,,,,,,,,
69012-38-0,,,,,,,,,,,,
69012-39-1,,,,,,,,,,,,
69012-40-4,,,,,,,,,,,,
69012-41-5,,,,,,,,,,,,
69012-42-6,,,,,,,,,,,,
69012-43-7,,,,,,,,,,,,
69012-44-8,,,,,,,,,,,,
69012-45-9,,,,,,,,,,,,
69012-46-0,,,,,,,,,,,,
69012-47-1,,,,,,,,,,,,
69012-48-2,,,,,,,,,,,,
69012-49-3,,,,,,,,,,,,
69012-50-6,,,,,,,,,,,,
69012-51-7,,,,,,,,,,,,
69012-52-8,,,,,,,,,,,,
69012-53-9,,,,,,,,,,,,
69012-54-0,,,,,,,,,,,,
69012-55-1,,,,,,,,,,,,
69012-56-2,,,,,,,,,,,,
69012-57-3,,,,,,,,,,,,
69012-58-4,,,,,,,,,,,,
69012-59-5,,,,,,,,,,,,
69012-60-8,,,,,,,,,,,,
69012-61-9,,,,,,,,,,,,
69012-62-0,,,,,,,,,,,,
69012-63-1,,,,,,,,,,,,
69012-64-2,,,,,,,,,,,,
69012-65-3,,,,,,,,,,,,
69012-66-4,,,,,,,,,,,,
69012-67-5,,,,,,,,,,,,
69012-68-6,,,,,,,,,,,,
69012-69-7,,,,,,,,,,,,
69012-70-0,,,,,,,,,,,,
69012-71-1,,,,,,,,,,,,
69012-72-2,,,,,,,,,,,,
69012-73-3,,,,,,,,,,,,
69012-74-4,,,,,,,,,,,,
69012-75-5,,,,,,,,,,,,
69012-76-6,,,,,,,,,,,,
69012-77-7,,,,,,,,,,,,
69012-78-8,,,,,,,,,,,,
69012-79-9,,,,,,,,,,,,
69012-80-2,,,,,,,,,,,,
69012-81-3,,,,,,,,,,,,
69012-82-4,,,,,,,,,,,,
69012-83-5,,,,,,,,,,,,
69012-85-7,,,,,,,,,,,,
69012-86-8,,,,,,,,,,,,
69012-87-9,,,,,,,,,,,,
69012-88-0,,,,,,,,,,,,
69012-89-1,,,,,,,,,,,,
69012-90-4,,,,,,,,,,,,
69012-92-6,,,,,,,,,,,,
69012-93-7,,,,,,,,,,,,
69012-94-8,,,,,,,,,,,,
69012-95-9,,,,,,,,,,,,
69012-96-0,,,,,,,,,,,,
69012-97-1,,,,,,,,,,,,
69012-98-2,,,,,,,,,,,,
69012-99-3,,,,,,,,,,,,
69013-00-9,,,,,,,,,,,,
69013-01-0,,,,,,,,,,,,
69013-02-1,,,,,,,,,,,,
69013-03-2,,,,,,,,,,,,
69013-04-3,,,,,,,,,,,,
69013-05-4,,,,,,,,,,,,
69013-06-5,,,,,,,,,,,,
69013-07-6,,,,,,,,,,,,
69013-08-7,,,,,,,,,,,,
69013-09-8,,,,,,,,,,,,
69013-10-1,,,,,,,,,,,,
69013-11-2,,,,,,,,,,,,
69013-12-3,,,,,,,,,,,,
69013-13-4,,,,,,,,,,,,
69013-14-5,,,,,,,,,,,,
69013-15-6,,,,,,,,,,,,
69013-16-7,,,,,,,,,,,,
69013-17-8,,,,,,,,,,,,
69013-18-9,,,,,,,,,,,,
69013-19-0,,,,,,,,,,,,
69013-20-3,,,,,,,,,,,,
69013-21-4,,,,,,,,,,,,
69013-22-5,,,,,,,,,,,,
69013-23-6,,,,,,,,,,,,
69013-24-7,,,,,,,,,,,,
69013-25-8,,,,,,,,,,,,
69013-26-9,,,,,,,,,,,,
69013-27-0,,,,,,,,,,,,
69013-28-1,,,,,,,,,,,,
69013-29-2,,,,,,,,,,,,
69013-30-5,,,,,,,,,,,,
69013-31-6,,,,,,,,,,,,
69013-32-7,,,,,,,,,,,,
69013-33-8,,,,,,,,,,,,
69013-34-9,,,,,,,,,,,,
69013-35-0,,,,,,,,,,,,
690-27-7,,,,,,,,,,,,
69029-14-7,,,,,,,,,,,,
69029-15-8,,,,,,,,,,,,
69029-16-9,,,,,,,,,,,,
69029-17-0,,,,,,,,,,,,
69029-18-1,,,,,,,,,,,,
69029-20-5,,,,,,,,,,,,
69029-23-8,,,,,,,,,,,,
69029-24-9,,,,,,,,,,,,
69029-25-0,,,,,,,,,,,,
69029-26-1,,,,,,,,,,,,
69029-27-2,,,,,,,,,,,,
69029-28-3,,,,,,,,,,,,
69029-29-4,,,,,,,,,,,,
69029-30-7,,,,,,,,,,,,
69029-31-8,,,,,,,,,,,,
69029-32-9,,,,,,,,,,,,
69029-33-0,,,,,,,,,,,,
69029-35-2,,,,,,,,,,,,
69029-39-6,,,,,,,,,,,,
69029-40-9,,,,,,,,,,,,
69029-41-0,,,,,,,,,,,,
69029-42-1,,,,,,,,,,,,
69029-43-2,,,,,,,,,,,,
69029-44-3,,,,,,,,,,,,
69029-45-4,,,,,,,,,,,,
69029-46-5,,,,,,,,,,,,
69029-47-6,,,,,,,,,,,,
69029-48-7,,,,,,,,,,,,
69029-49-8,,,,,,,,,,,,
69029-50-1,,,,,,,,,,,,
69029-51-2,,,,,,,,,,,,
69029-52-3,,,,,,,,,,,,
69029-53-4,,,,,,,,,,,,
69029-55-6,,,,,,,,,,,,
69029-56-7,,,,,,,,,,,,
69029-57-8,,,,,,,,,,,,
69029-58-9,,,,,,,,,,,,
69029-59-0,,,,,,,,,,,,
69029-60-3,,,,,,,,,,,,
69029-61-4,,,,,,,,,,,,
69029-62-5,,,,,,,,,,,,
69029-63-6,,,,,,,,,,,,
69029-64-7,,,,,,,,,,,,
69029-65-8,,,,,,,,,,,,
69029-66-9,,,,,,,,,,,,
69029-67-0,,,,,,,,,,,,
69029-68-1,,,,,,,,,,,,
69029-69-2,,,,,,,,,,,,
69029-70-5,,,,,,,,,,,,
69029-71-6,,,,,,,,,,,,
69029-72-7,,,,,,,,,,,,
69029-73-8,,,,,,,,,,,,
69029-74-9,,,,,,,,,,,,
69029-75-0,,,,,,,,,,,,
69029-76-1,,,,,,,,,,,,
69029-77-2,,,,,,,,,,,,
69029-78-3,,,,,,,,,,,,
69029-79-4,,,,,,,,,,,,
69029-80-7,,,,,,,,,,,,
69029-81-8,,,,,,,,,,,,
69029-82-9,,,,,,,,,,,,
69029-83-0,,,,,,,,,,,,
69029-84-1,,,,,,,,,,,,
69029-85-2,,,,,,,,,,,,
69029-86-3,,,,,,,,,,,,
69029-87-4,,,,,,,,,,,,
69029-88-5,,,,,,,,,,,,
69029-89-6,,,,,,,,,,,,
69029-90-9,,,,,,,,,,,,
69029-91-0,,,,,,,,,,,,
69029-92-1,,,,,,,,,,,,
69029-93-2,,,,,,,,,,,,
69029-94-3,,,,,,,,,,,,
69029-95-4,,,,,,,,,,,,
69029-96-5,,,,,,,,,,,,
69029-97-6,,,,,,,,,,,,
69029-98-7,,,,,,,,,,,,
69029-99-8,,,,,,,,,,,,
69030-00-8,,,,,,,,,,,,
69030-02-0,,,,,,,,,,,,
690-39-1,,,,,,,,,,,,
69040-51-3,,,,,,,,,,,,
69040-58-0,,,,,,,,,,,,
69040-60-4,,,,,,,,,,,,
69045-78-9,,,,,,,,,,,,
69045-83-6,,,,,,,,,,,,
69045-84-7,,,,,,,,,,,,
69056-14-0,,,,,,,,,,,,
69070-57-1,,,,,,,,,,,,
69070-58-2,,,,,,,,,,,,
69070-59-3,,,,,,,,,,,,
69070-60-6,,,,,,,,,,,,
69070-61-7,,,,,,,,,,,,
69070-62-8,,,,,,,,,,,,
69070-63-9,,,,,,,,,,,,
69070-64-0,,,,,,,,,,,,
69075-62-3,,,,,,,,,,,,
69082-76-4,,,,,,,,,,,,
690-83-5,,,,,,,,,,,,
6908-41-4,,,,,,,,,,,,
69087-46-3,,,,,,,,,,,,
69087-47-4,,,,,,,,,,,,
69088-96-6,,,,,,,,,,,,
69089-42-5,,,,,,,,,,,,
69089-43-6,,,,,,,,,,,,
69089-44-7,,,,,,,,,,,,
69089-45-8,,,,,,,,,,,,
69-09-0,,,,,,,,,,,,
69093-18-1,,,,,,,,,,,,
69102-85-8,,,,,,,,,,,,
69102-86-9,,,,,,,,,,,,
69102-87-0,,,,,,,,,,,,
69102-88-1,,,,,,,,,,,,
69102-89-2,,,,,,,,,,,,
69102-90-5,,,,,,,,,,,,
69102-91-6,,,,,,,,,,,,
69102-92-7,,,,,,,,,,,,
69102-93-8,,,,,,,,,,,,
69102-94-9,,,,,,,,,,,,
69102-95-0,,,,,,,,,,,,
69102-96-1,,,,,,,,,,,,
69102-97-2,,,,,,,,,,,,
69102-98-3,,,,,,,,,,,,
69102-99-4,,,,,,,,,,,,
69103-00-0,,,,,,,,,,,,
69103-01-1,,,,,,,,,,,,
69103-02-2,,,,,,,,,,,,
69103-03-3,,,,,,,,,,,,
69103-04-4,,,,,,,,,,,,
69103-05-5,,,,,,,,,,,,
69103-06-6,,,,,,,,,,,,
69103-07-7,,,,,,,,,,,,
69103-08-8,,,,,,,,,,,,
69103-09-9,,,,,,,,,,,,
69103-10-2,,,,,,,,,,,,
69103-11-3,,,,,,,,,,,,
69103-12-4,,,,,,,,,,,,
69103-13-5,,,,,,,,,,,,
69103-14-6,,,,,,,,,,,,
69103-15-7,,,,,,,,,,,,
69103-16-8,,,,,,,,,,,,
69103-17-9,,,,,,,,,,,,
69103-18-0,,,,,,,,,,,,
69103-19-1,,,,,,,,,,,,
69103-20-4,,,,,,,,,,,,
69103-22-6,,,,,,,,,,,,
69103-23-7,,,,,,,,,,,,
69103-24-8,,,,,,,,,,,,
69112-87-4,,,,,,,,,,,,
69116-71-8,,,,,,,,,,,,
69116-72-9,,,,,,,,,,,,
69116-73-0,,,,,,,,,,,,
69119-80-8,,,,,,,,,,,,
69121-13-7,,,,,,,,,,,,
69121-14-8,,,,,,,,,,,,
69121-15-9,,,,,,,,,,,,
69121-20-6,,,,,,,,,,,,
69121-21-7,,,,,,,,,,,,
69121-22-8,,,,,,,,,,,,
69121-23-9,,,,,,,,,,,,
69121-24-0,,,,,,,,,,,,
69121-25-1,,,,,,,,,,,,
69121-26-2,,,,,,,,,,,,
69121-27-3,,,,,,,,,,,,
691-37-2,,,,,,,,,,,,
691400-36-9,,,,,,,,,,,,
691400-76-7,,,,,,,,,,,,
691401-28-2,,,,,,,,,,,,
69140-59-6,,,,,,,,,,,,
69140-60-9,,,,,,,,,,,,
69140-61-0,,,,,,,,,,,,
69140-62-1,,,,,,,,,,,,
69140-63-2,,,,,,,,,,,,
69140-64-3,,,,,,,,,,,,
6914-71-2,,,,,,,,,,,,
6915-15-7,,,,,,,,,,,,
69155-33-5,,,,,,,,,,,,
69155-35-7,,,,,,,,,,,,
69155-37-9,,,,,,,,,,,,
69155-38-0,,,,,,,,,,,,
69155-40-4,,,,,,,,,,,,
69155-42-6,,,,,,,,,,,,
69155-43-7,,,,,,,,,,,,
69155-44-8,,,,,,,,,,,,
69155-45-9,,,,,,,,,,,,
691-60-1,,,,,,,,,,,,
69163-06-0,,,,,,,,,,,,
6917-35-7,,,,,,,,,,,,
69175-20-8,,,,,,,,,,,,
69178-34-3,,,,,,,,,,,,
69178-35-4,,,,,,,,,,,,
69178-37-6,,,,,,,,,,,,
69178-38-7,,,,,,,,,,,,
69178-39-8,,,,,,,,,,,,
69178-40-1,,,,,,,,,,,,
69178-41-2,,,,,,,,,,,,
69178-42-3,,,,,,,,,,,,
69178-43-4,,,,,,,,,,,,
69178-44-5,,,,,,,,,,,,
69178-45-6,,,,,,,,,,,,
69190-99-4,,,,,,,,,,,,
69198-43-2,,,,,,,,,,,,
6920-22-5,,,,,,,,,,,,
6920-24-7,,,,,,,,,,,,
69205-08-9,,,,,,,,,,,,
69205-10-3,,,,,,,,,,,,
69205-11-4,,,,,,,,,,,,
69205-12-5,,,,,,,,,,,,
69205-13-6,,,,,,,,,,,,
69205-14-7,,,,,,,,,,,,
69205-15-8,,,,,,,,,,,,
6920-97-4,,,,,,,,,,,,
6921-17-1,,,,,,,,,,,,
6921-34-2,,,,,,,,,,,,
6921-64-8,,,,,,,,,,,,
6921-98-8,,,,,,,,,,,,
6922-60-7,,,,,,,,,,,,
69226-41-1,,,,,,,,,,,,
69226-90-0,,,,,,,,,,,,
69226-92-2,,,,,,,,,,,,
69226-94-4,,,,,,,,,,,,
69226-97-7,,,,,,,,,,,,
69226-98-8,,,,,,,,,,,,
69227-00-5,,,,,,,,,,,,
69227-01-6,,,,,,,,,,,,
69227-02-7,,,,,,,,,,,,
69227-03-8,,,,,,,,,,,,
69227-05-0,,,,,,,,,,,,
69227-06-1,,,,,,,,,,,,
69227-07-2,,,,,,,,,,,,
69227-08-3,,,,,,,,,,,,
69227-09-4,,,,,,,,,,,,
69227-10-7,,,,,,,,,,,,
69227-11-8,,,,,,,,,,,,
69227-12-9,,,,,,,,,,,,
69227-13-0,,,,,,,,,,,,
69227-14-1,,,,,,,,,,,,
69227-15-2,,,,,,,,,,,,
69227-16-3,,,,,,,,,,,,
69227-17-4,,,,,,,,,,,,
69227-18-5,,,,,,,,,,,,
69227-19-6,,,,,,,,,,,,
69227-20-9,,,,,,,,,,,,
69227-21-0,,,,,,,,,,,,
69227-22-1,,,,,,,,,,,,
69227-24-3,,,,,,,,,,,,
69227-25-4,,,,,,,,,,,,
69227-26-5,,,,,,,,,,,,
69227-47-0,,,,,,,,,,,,
69227-51-6,,,,,,,,,,,,
6923-52-0,,,,,,,,,,,,
69238-83-1,,,,,,,,,,,,
69238-84-2,,,,,,,,,,,,
69238-89-7,,,,,,,,,,,,
69238-91-1,,,,,,,,,,,,
69238-92-2,,,,,,,,,,,,
69242-00-8,,,,,,,,,,,,
692-49-9,,,,,,,,,,,,
692-50-2,,,,,,,,,,,,
6925-48-0,,,,,,,,,,,,
69256-63-9,,,,,,,,,,,,
6925-69-5,,,,,,,,,,,,
69257-15-4,,,,,,,,,,,,
69278-36-0,,,,,,,,,,,,
69278-63-3,,,,,,,,,,,,
69278-64-4,,,,,,,,,,,,
69278-65-5,,,,,,,,,,,,
69278-66-6,,,,,,,,,,,,
69278-67-7,,,,,,,,,,,,
69278-68-8,,,,,,,,,,,,
69278-69-9,,,,,,,,,,,,
69278-70-2,,,,,,,,,,,,
69278-71-3,,,,,,,,,,,,
69278-72-4,,,,,,,,,,,,
69278-73-5,,,,,,,,,,,,
69278-74-6,,,,,,,,,,,,
69278-75-7,,,,,,,,,,,,
69278-76-8,,,,,,,,,,,,
69278-77-9,,,,,,,,,,,,
69278-78-0,,,,,,,,,,,,
69278-80-4,,,,,,,,,,,,
69278-81-5,,,,,,,,,,,,
69278-82-6,,,,,,,,,,,,
69278-83-7,,,,,,,,,,,,
69278-84-8,,,,,,,,,,,,
69278-85-9,,,,,,,,,,,,
69278-86-0,,,,,,,,,,,,
69278-88-2,,,,,,,,,,,,
69278-89-3,,,,,,,,,,,,
69278-90-6,,,,,,,,,,,,
69278-91-7,,,,,,,,,,,,
69278-92-8,,,,,,,,,,,,
69278-93-9,,,,,,,,,,,,
69278-94-0,,,,,,,,,,,,
69278-95-1,,,,,,,,,,,,
69278-96-2,,,,,,,,,,,,
69278-97-3,,,,,,,,,,,,
69278-98-4,,,,,,,,,,,,
69278-99-5,,,,,,,,,,,,
69279-00-1,,,,,,,,,,,,
69279-01-2,,,,,,,,,,,,
69279-46-5,,,,,,,,,,,,
692-86-4,,,,,,,,,,,,
6928-67-2,,,,,,,,,,,,
69288-63-7,,,,,,,,,,,,
69289-21-0,,,,,,,,,,,,
69293-81-8,,,,,,,,,,,,
69293-82-9,,,,,,,,,,,,
69300-15-8,,,,,,,,,,,,
69300-17-0,,,,,,,,,,,,
693-02-7,,,,,,,,,,,,
693-04-9,,,,,,,,,,,,
693-05-0,,,,,,,,,,,,
693-06-1,,,,,,,,,,,,
693-07-2,,,,,,,,,,,,
693-13-0,,,,,,,,,,,,
6931-54-0,,,,,,,,,,,,
693-16-3,,,,,,,,,,,,
693-21-0,,,,,,,,,,,,
693217-63-9,,,,,,,,,,,,
693-23-2,,,,,,,,,,,,
693252-31-2,,,,,,,,,,,,
693-25-4,,,,,,,,,,,,
69331-28-8,,,,,,,,,,,,
69331-29-9,,,,,,,,,,,,
69331-39-1,,,,,,,,,,,,
69331-40-4,,,,,,,,,,,,
69331-41-5,,,,,,,,,,,,
693-33-4,,,,,,,,,,,,
693-36-7,,,,,,,,,,,,
693-38-9,,,,,,,,,,,,
6935-27-9,,,,,,,,,,,,
693-54-9,,,,,,,,,,,,
693-55-0,,,,,,,,,,,,
693-57-2,,,,,,,,,,,,
693-58-3,,,,,,,,,,,,
693-65-2,,,,,,,,,,,,
693-67-4,,,,,,,,,,,,
69367-40-4,,,,,,,,,,,,
69373-03-1,,,,,,,,,,,,
69376-38-1,,,,,,,,,,,,
6/3/6938,,,,,,,,,,,,
693-83-4,,,,,,,,,,,,
6938-66-5,,,,,,,,,,,,
69386-88-5,,,,,,,,,,,,
69386-90-9,,,,,,,,,,,,
6938-94-9,,,,,,,,,,,,
6939-35-1,,,,,,,,,,,,
693-95-8,,,,,,,,,,,,
693-98-1,,,,,,,,,,,,
6939-89-5,,,,,,,,,,,,
69402-07-9,,,,,,,,,,,,
69402-08-0,,,,,,,,,,,,
69402-09-1,,,,,,,,,,,,
6940-49-4,,,,,,,,,,,,
6940-50-7,,,,,,,,,,,,
6940-53-0,,,,,,,,,,,,
6940-76-7,,,,,,,,,,,,
6940-78-9,,,,,,,,,,,,
69416-69-9,,,,,,,,,,,,
69418-26-4,,,,,,,,,,,,
2/5/6942,,,,,,,,,,,,
694-28-0,,,,,,,,,,,,
69430-20-2,,,,,,,,,,,,
69430-21-3,,,,,,,,,,,,
69430-23-5,,,,,,,,,,,,
69430-24-6,,,,,,,,,,,,
69430-25-7,,,,,,,,,,,,
69430-26-8,,,,,,,,,,,,
69430-27-9,,,,,,,,,,,,
69430-28-0,,,,,,,,,,,,
69430-29-1,,,,,,,,,,,,
69430-30-4,,,,,,,,,,,,
69430-31-5,,,,,,,,,,,,
69430-32-6,,,,,,,,,,,,
69430-33-7,,,,,,,,,,,,
69430-34-8,,,,,,,,,,,,
69430-35-9,,,,,,,,,,,,
69430-36-0,,,,,,,,,,,,
69430-37-1,,,,,,,,,,,,
69430-38-2,,,,,,,,,,,,
69430-39-3,,,,,,,,,,,,
69430-40-6,,,,,,,,,,,,
69430-42-8,,,,,,,,,,,,
69430-43-9,,,,,,,,,,,,
69430-44-0,,,,,,,,,,,,
69430-46-2,,,,,,,,,,,,
69430-47-3,,,,,,,,,,,,
69430-49-5,,,,,,,,,,,,
69430-50-8,,,,,,,,,,,,
69430-51-9,,,,,,,,,,,,
69432-31-1,,,,,,,,,,,,
69432-33-3,,,,,,,,,,,,
69432-35-5,,,,,,,,,,,,
6943-87-9,,,,,,,,,,,,
69443-71-6,,,,,,,,,,,,
69444-47-9,,,,,,,,,,,,
69447-75-2,,,,,,,,,,,,
69452-87-5,,,,,,,,,,,,
694-53-1,,,,,,,,,,,,
69459-42-3,,,,,,,,,,,,
694-59-7,,,,,,,,,,,,
6946-22-1,,,,,,,,,,,,
69468-27-5,,,,,,,,,,,,
69470-51-5,,,,,,,,,,,,
69472-19-1,,,,,,,,,,,,
69472-23-7,,,,,,,,,,,,
694-80-4,,,,,,,,,,,,
694-83-7,,,,,,,,,,,,
694-85-9,,,,,,,,,,,,
69486-14-2,,,,,,,,,,,,
9/3/6949,,,,,,,,,,,,
69493-47-6,,,,,,,,,,,,
69494-21-9,,,,,,,,,,,,
695-06-7,,,,,,,,,,,,
6950-88-5,,,,,,,,,,,,
8/2/6951,,,,,,,,,,,,
69518-69-0,,,,,,,,,,,,
69520-93-0,,,,,,,,,,,,
69531-41-5,,,,,,,,,,,,
69531-54-0,,,,,,,,,,,,
695-34-1,,,,,,,,,,,,
6953-60-2,,,,,,,,,,,,
6953-78-2,,,,,,,,,,,,
69545-71-7,,,,,,,,,,,,
695-53-4,,,,,,,,,,,,
69563-51-5,,,,,,,,,,,,
6956-37-2,,,,,,,,,,,,
69563-80-0,,,,,,,,,,,,
69563-88-8,,,,,,,,,,,,
69571-19-3,,,,,,,,,,,,
6957-25-1,,,,,,,,,,,,
69577-65-7,,,,,,,,,,,,
6959-71-3,,,,,,,,,,,,
6960-17-4,,,,,,,,,,,,
6960-45-8,,,,,,,,,,,,
696-07-1,,,,,,,,,,,,
69617-84-1,,,,,,,,,,,,
6961-82-6,,,,,,,,,,,,
6961-89-3,,,,,,,,,,,,
696-23-1,,,,,,,,,,,,
6962-44-3,,,,,,,,,,,,
696-28-6,,,,,,,,,,,,
6962-92-1,,,,,,,,,,,,
696-29-7,,,,,,,,,,,,
696-30-0,,,,,,,,,,,,
69631-31-8,,,,,,,,,,,,
6963-44-6,,,,,,,,,,,,
6963-56-0,,,,,,,,,,,,
69637-93-0,,,,,,,,,,,,
6964-23-4,,,,,,,,,,,,
696-44-6,,,,,,,,,,,,
1/1/6965,,,,,,,,,,,,
69-65-8,,,,,,,,,,,,
69658-24-8,,,,,,,,,,,,
696-59-3,,,,,,,,,,,,
696-61-7,,,,,,,,,,,,
696-62-8,,,,,,,,,,,,
69669-24-5,,,,,,,,,,,,
69669-25-6,,,,,,,,,,,,
69669-26-7,,,,,,,,,,,,
69669-27-8,,,,,,,,,,,,
69669-28-9,,,,,,,,,,,,
69669-29-0,,,,,,,,,,,,
69669-30-3,,,,,,,,,,,,
69669-31-4,,,,,,,,,,,,
69669-32-5,,,,,,,,,,,,
69669-33-6,,,,,,,,,,,,
